JD	mag	mag_err
2458301.92276	15.5396185	0.011131998
2458301.92321	15.54059	0.011133207
2458326.86943	15.605744	0.011217275
2458326.86989	15.610025	0.011223007
2458327.87017	15.624641	0.0112427715
2458327.87062	15.638665	0.0112620285
2458328.85583	15.48986	0.011071711
2458328.85628	15.500344	0.011084145
2458330.88841	15.896469	0.01167148
2458330.88977	15.882013	0.011645511
2458332.85772	15.459254	0.011036214
2458332.88099	15.48035	0.011060555
2458334.90239	15.502187	0.011086345
2458334.90284	15.502084	0.011086223
2458335.85891	15.481303	0.011061668
2458335.87244	15.4917965	0.011073998
2458336.85846	15.655808	0.01128596
2458336.85892	15.661611	0.011294158
2458344.93923	15.468884	0.011047256
2458345.85416	15.452983	0.011029087
2458353.81498	15.478178	0.011058022
2458354.78534	15.594934	0.011202917
2458355.80354	15.589789	0.011196143
2458356.80627	15.483767	0.01106455
2458368.82372	15.639051	0.011262562
2458372.8332	15.494267	0.011076922
2458378.76842	15.904542	0.011686152
2458379.77133	15.71113	0.011366211
2458380.79294	15.45744	0.011034148
2458383.82869	15.562523	0.011160855
2458385.78876	16.03687	0.011944689
2458386.76706	15.6186695	0.01123466
2458389.78195	15.537825	0.011129767
2458425.76421	15.832735	0.01155983
2458431.70721	15.459723	0.011036749
2458439.74868	16.005741	0.011880709
2458443.59452	15.449673	0.011025342
2458655.89875	15.641307	0.011265688
2458655.8992	15.645137	0.011271011
2458672.98304	15.524665	0.011113538
2458672.98349	15.522816	0.011111276
2458681.91507	15.468281	0.011046562
2458681.91552	15.468844	0.01104721
2458682.894	15.670187	0.011306371
2458682.89445	15.6772	0.011316439
2458683.91055	15.535961	0.011127455
2458683.91101	15.518564	0.011106092
2458685.90203	15.758844	0.011439271
2458685.90248	15.789882	0.011488787
2458695.84876	15.453251	0.011029391
2458695.84921	15.470723	0.011049377
2458706.85293	15.857901	0.011603041
2458706.85338	15.889619	0.011659127
2458709.85848	15.549749	0.0111446725
2458710.86836	15.658511	0.011289773
2458710.86882	15.649338	0.011276877
2458711.8307	15.545427	0.011139249
2458711.83115	15.542035	0.011135008
2458712.86309	15.600446	0.011210218
2458712.86354	15.605075	0.011216382
2458713.87369	16.005241	0.011879698
2458713.87413	15.993016	0.01185513
2458714.89199	15.456333	0.011032889
2458714.89244	15.452059	0.01102804
2458715.88681	15.466398	0.011044394
2458715.88726	15.475591	0.011055016
2458716.91191	15.683202	0.011325112
2458716.91236	15.676335	0.011315192
2458719.89812	15.999793	0.01186871
2458719.89858	15.990821	0.011850748
2458726.8197	15.565958	0.0111652445
2458726.82105	15.569703	0.011170048
2458736.88945	15.679543	0.011319817
2458736.88991	15.67078	0.011307218
2458738.85812	15.496778	0.011079898
2458739.86519	15.63552	0.011257685
2458739.86564	15.641121	0.01126543
2458740.87067	15.989752	0.011848619
2458740.87112	15.986371	0.011841901
2458741.86399	15.506986	0.011092097
2458741.86445	15.529589	0.011119583
2458744.90986	15.47317	0.011052208
2458744.91031	15.503852	0.011088338
