JD            mag
2447773.48700 14.13470
2445644.31200 14.07090
2445646.26700 14.21220
2445647.31700 14.02840
2445647.35000 14.02640
2445663.16000 14.06880
2445663.19300 14.04940
2445665.25900 14.08490
2445666.27100 14.09700
2445674.17100 14.05740
2445695.16500 13.99950
2445882.48100 14.13890
2445908.42100 14.02460
2445913.47800 14.02130
2445914.47700 13.99340
2445915.45700 13.98440
2445918.53400 14.08080
2445933.40800 14.05770
2445936.42300 14.03700
2445939.47200 13.98770
2445945.45600 14.06380
2445945.49000 14.05860
2445946.42400 14.05060
2445947.49300 14.03730
2445948.49100 14.07870
2445949.49200 14.02250
2445964.53000 14.06650
2445965.38400 14.11030
2445969.26600 14.14830
2445969.33700 14.08780
2445969.37000 14.07760
2445969.40300 14.07900
2445969.43600 14.04380
2445969.46800 13.99890
2445969.50200 14.07170
2445969.53400 14.11150
2445969.56700 14.06030
2445972.46800 14.11890
2445974.44300 14.16980
2446030.33200 14.02250
2446265.50700 14.05680
2446297.38700 14.03260
2446301.42100 14.04590
2446304.43700 14.11550
2446325.40700 14.04620
2446326.40800 14.09100
2446329.40700 14.04350
2446352.43200 14.01380
2446360.41500 14.02100
2446380.30700 14.10050
2446382.36000 14.09880
2446406.28500 14.10970
2446408.26200 14.12690
2446410.27800 14.04860
2446413.26700 14.05030
2446645.50000 14.39170
2446651.49600 14.35240
2446654.51100 14.38500
2446656.47100 14.31890
2446672.42800 14.37540
2446682.40300 14.30030
2446706.42100 14.30780
2446709.42200 14.32610
2446712.40300 14.39920
2446714.41900 14.26370
2446730.31600 14.36270
2446761.26400 14.32560
2446763.17500 14.41380
2446764.25200 14.37020
2446768.21900 14.41540
2446769.21000 14.38990
2447035.45800 14.34060
2447041.55500 14.28770
2447059.40600 14.29360
2447062.49600 14.36660
2447064.34000 14.30830
2447066.44900 14.28580
2447091.32200 14.31580
2447387.46700 14.20470
2447389.42900 14.24020
2447393.47800 14.23530
2447395.41800 14.15590
2447396.38200 14.15280
2447397.39400 14.19890
2447410.41100 14.16220
2447418.45600 14.23530
2447419.35100 14.17900
2447422.33500 14.22430
2447424.46400 14.32850
2447436.30500 14.12290
2447442.33700 14.20750
2447449.29200 14.14230
2447451.27800 14.25800
2447468.19100 14.24710
2447475.20700 14.26750
2447477.22500 14.18460
2447765.43500 14.10890
2447766.54200 14.12580
2445642.36800 14.11460
2447792.40300 14.21270
2447798.41500 14.27260
2447802.43400 14.05240
2447821.40300 14.18460
2447826.33700 14.11980
2447826.40200 14.20580
2447826.44100 14.07670
2447835.22900 14.18320
2447851.24300 14.16550
2448532.23700 14.05440
2448811.50800 14.11060
2450371.33000 14.10140
