JD            mag
2447773.48700 16.02080
2445644.31200 15.99690
2445646.26700 16.18570
2445647.31700 15.93990
2445647.35000 15.91300
2445663.16000 16.08530
2445663.19300 16.01710
2445665.25900 16.15690
2445674.17100 16.24680
2445695.16500 16.02210
2445882.48100 16.19530
2445888.49000 16.38380
2445908.42100 16.13080
2445913.47800 16.28300
2445914.47700 16.25480
2445915.45700 16.19070
2445918.53400 15.81010
2445933.40800 15.82560
2445936.42300 16.02300
2445939.47200 16.12550
2445945.45600 16.00980
2445945.49000 15.90150
2445946.42400 16.25140
2445947.49300 16.05220
2445948.49100 16.01520
2445949.49200 16.28100
2445964.53000 16.21650
2445965.38400 16.35640
2445969.26600 16.40400
2445969.33700 16.06660
2445969.37000 15.89880
2445969.40300 16.00370
2445969.43600 16.25560
2445969.46800 16.20640
2445969.50200 16.22590
2445969.53400 16.36720
2445969.56700 16.07620
2445972.46800 16.06920
2445974.44300 16.14510
2446030.33200 16.04590
2446265.50700 16.61090
2446301.42100 15.98300
2446304.43700 15.84030
2446325.40700 16.58850
2446326.40800 16.08240
2446329.40700 15.94310
2446352.43200 15.93750
2446360.41500 15.99170
2446380.30700 16.08650
2446382.36000 16.19610
2446406.28500 16.10020
2446408.26200 15.97740
2446410.27800 16.20840
2446413.26700 16.15960
2446645.50000 16.21930
2446651.49600 15.88780
2446654.51100 16.01800
2446656.47100 16.11500
2446672.42800 16.20020
2446682.40300 16.18570
2446686.42500 16.13220
2446706.42100 16.00100
2446709.42200 16.01040
2446712.40300 16.01390
2446714.41900 15.90360
2446730.31600 16.06470
2446761.26400 16.32250
2446763.17500 16.23820
2446768.21900 16.06370
2446769.21000 16.16830
2447035.45800 16.23420
2447041.55500 16.66300
2447057.42700 15.96870
2447059.40600 16.27710
2447062.49600 16.14320
2447064.34000 16.19310
2447066.44900 15.97180
2447091.32200 16.04530
2447387.46700 16.08320
2447389.42900 16.23970
2447393.47800 15.99600
2447395.41800 16.08390
2447396.38200 16.17650
2447397.39400 16.35370
2447410.41100 16.22660
2447418.45600 16.07220
2447419.35100 16.01300
2447420.43400 16.12640
2447422.33500 16.02010
2447424.46400 16.00450
2447436.30500 15.95820
2447442.33700 16.01550
2447449.29200 16.14320
2447451.27800 16.22090
2447468.19100 15.93100
2447477.22500 15.93920
2447765.43500 16.39670
2447766.54200 16.14300
2445642.36800 15.97240
2447792.40300 16.25220
2447798.41500 16.34540
2447802.43400 16.13970
2447821.40300 16.07460
2447826.33700 16.10160
2447826.44100 16.41060
2447835.22900 16.54410
2447851.24300 16.06600
2448532.23700 16.14560
2448811.50800 15.92290
2450365.43900 16.16080
2450371.33000 15.92230
