JD	mag	mag_err
2458228.98551	15.927291	0.013402298
2458236.00043	15.967743	0.013508965
2458244.94909	15.93125	0.013412594
2458246.98352	15.918093	0.013378495
2458247.98499	15.943565	0.0134448195
2458254.94432	15.919971	0.013383344
2458255.92785	15.9424515	0.013441893
2458262.97541	15.906605	0.013348998
2458263.96323	15.930428	0.013410451
2458267.96606	15.938534	0.013431617
2458268.96667	15.898673	0.0133287795
2458269.97187	16.425781	0.014981221
2458270.96884	15.931234	0.013412554
2458272.93135	15.900069	0.01333233
2458273.96386	16.460217	0.015114964
2458274.94478	15.943025	0.0134434
2458276.90649	15.930266	0.013410034
2458277.94764	16.627043	0.015818302
2458278.9339	15.921655	0.013387693
2458279.95479	15.944751	0.0134479385
2458280.95347	15.904235	0.013342944
2458281.93022	16.856255	0.016955322
2458282.92625	15.911435	0.013361369
2458283.9523	15.948966	0.013459047
2458285.9494	16.335333	0.014647005
2458286.93081	15.936523	0.013426357
2458287.93196	15.937927	0.013430031
2458288.93048	15.916138	0.013373457
2458289.92196	16.706459	0.016188225
2458290.95297	15.920134	0.013383762
2458291.95423	15.927491	0.013402818
2458293.95316	16.092163	0.013858425
2458294.95689	15.89532	0.013320269
2458296.96709	15.924053	0.013393901
2458297.96992	15.945178	0.013449063
2458298.97144	15.91576	0.013372485
2458299.96909	15.91342	0.013366465
2458301.97023	15.927856	0.013403769
2458302.95141	15.917186	0.013376156
2458303.9444	15.945385	0.013449608
2458304.94578	15.905036	0.013344988
2458305.97228	15.929522	0.013408095
2458307.94999	15.916541	0.013374497
2458310.86591	15.911753	0.013362185
2458312.9658	15.900488	0.013333395
2458316.90909	15.8931675	0.013314816
2458318.92589	15.885905	0.013296485
2458319.90761	15.901534	0.013336059
2458320.95818	15.912548	0.0133642275
2458321.93421	15.918939	0.013380678
2458322.94925	15.913227	0.013365972
2458323.95582	15.885389	0.013295189
2458324.95463	15.896975	0.0133244665
2458325.90226	16.00652	0.013614332
2458326.98407	15.938891	0.013432553
2458327.97455	15.906334	0.013348305
2458329.93842	15.933115	0.0151547985
2458329.93887	15.923704	0.015136166
2458330.97452	15.918268	0.013378947
2458332.95005	15.888817	0.013303824
2458333.94626	15.906754	0.013349377
2458334.82079	15.887207	0.013299764
2458336.82162	15.891151	0.013309718
2458337.89181	15.946893	0.013453578
2458338.87812	15.887166	0.013299662
2458338.89533	15.931689	0.015151964
2458343.88518	15.894546	0.013318305
2458344.86363	15.895885	0.013321701
2458344.89232	15.928314	0.015145272
2458346.84533	15.891208	0.013309859
2458347.84708	15.923168	0.01339161
2458348.86422	15.900719	0.013333984
2458349.87742	15.890403	0.013307826
2458352.89097	15.885463	0.013295372
2458360.93084	15.91517	0.015119433
2458361.89004	15.916618	0.013374696
2458362.76325	15.894139	0.013317278
2458363.81077	15.894043	0.013317035
2458363.83193	15.937918	0.01516438
2458364.78518	15.891474	0.013310534
2458365.80304	16.318655	0.014587965
2458367.81568	15.911456	0.013361424
2458369.80588	16.14899	0.014029517
2458370.84416	15.908359	0.013353487
2458371.84659	15.921207	0.013386537
2458372.78542	15.894881	0.013319157
2458374.78626	15.922415	0.01338966
2458375.80507	15.919706	0.013382659
2458376.80656	15.920715	0.013385265
2458378.82861	15.903326	0.013340626
2458380.84945	15.927538	0.013402939
2458381.74838	16.826939	0.018075721
2458383.75134	15.969019	0.015227636
2458383.93028	15.923394	0.013392194
2458384.7857	15.92855	0.015145736
2458386.67962	15.91622	0.013373668
2458387.78674	15.9025545	0.013338659
2458388.82033	15.890964	0.013309245
2458389.86641	15.935327	0.015159204
2458390.87329	15.948031	0.015184718
2458400.76662	15.920762	0.013385385
2458428.68438	15.898178	0.013327523
2458430.66427	15.91138	0.013361229
2458430.8363	15.93365	0.015155863
2458431.72702	15.928035	0.01340423
2458437.72489	15.931273	0.013412656
2458441.75187	15.930327	0.013410192
2458443.7503	15.928619	0.0151458755
2458457.61715	16.66761	0.016004257
2458469.65804	15.943297	0.0134441145
2458472.65878	15.906201	0.013347966
2458482.6389	15.903546	0.0133411875
2458483.61254	15.9232645	0.01339186
2458487.66306	15.907721	0.013351851
2458488.64007	15.912281	0.013363541
2458491.63864	15.938735	0.013432144
2458493.65959	15.918114	0.01337855
2458494.64146	15.918752	0.013380196
2458503.68	15.922861	0.013390814
2458505.67695	15.898908	0.013329378
2458507.65725	15.908338	0.013353432
2458509.65992	15.89644	0.013323107
2458510.6358	15.937978	0.013430162
2458511.63644	15.906357	0.013348363
2458734.99663	15.9297	0.015148016
2458734.99708	15.900281	0.015090612
2458737.90207	15.921803	0.015132428
2458737.90252	15.914993	0.01511909
2458764.87243	15.9301605	0.015148928
2458764.87288	15.939464	0.015167472
2458766.7681	15.922387	0.0151335765
2458767.81839	15.922192	0.015133192
2458767.81884	15.9501705	0.015189047
2458783.68986	16.58298	0.017004251
2458791.67027	16.693882	0.01745972
2458793.66968	15.95352	0.015195848
2458793.67013	15.942924	0.01517442
2458794.66943	15.923988	0.015136728
2458794.66988	15.918554	0.015126051
2458795.68325	16.321222	0.016109303
2458795.68371	16.30568	0.016063238
2458798.65732	15.909967	0.015109311
2458798.65777	15.921237	0.015131315
2458849.61951	15.928002	0.015144654
2458849.62469	15.91334	0.015115866
2459046.99023	15.92418	0.015137106
2459053.91221	15.991814	0.015275356
