JD	mag	mag_err
2458387.86362	13.012465	0.0112862
2458653.97571	12.967127	0.011288067
2459093.80518	12.97434	0.011287754
2459097.89121	12.9552	0.0112886
2459121.76327	12.942949	0.011289164
2459130.72302	12.953494	0.011288678
2459131.80329	12.959328	0.011288414
2459134.84327	12.980893	0.011287475
2459134.86116	12.979455	0.011287536
2459135.69989	12.987527	0.011287197
2459135.82065	12.968408	0.011288011
2459136.7648	12.962278	0.011288282
2459136.78528	12.980997	0.011287469
2459137.784	12.951164	0.011288784
2459137.80133	12.985659	0.011287275
2459138.67757	12.954195	0.011288646
2459138.6912000002	12.968269	0.011288018
2459139.66644	12.995827	0.011286857
2459142.83009	12.977108	0.011287635
2459142.83404	12.989989	0.011287095
2459143.7424	12.973124	0.0112878075
2459143.75315	12.994393	0.011286915
2459143.76039	12.966288	0.0112881055
2459144.80842	12.965108	0.011288157
2459152.65927	12.976702	0.011287653
2459153.76178	12.951069	0.011288789
2459155.80232	12.939987	0.011289304
2459155.81879	12.953242	0.0112886885
2459157.76608	12.863582	0.0112932315
2459157.78226	12.933786	0.0112895975
2459158.74421	12.953063	0.011288698
2459158.76097	12.951861	0.011288753
2459166.87636	12.945586	0.0112890415
