JD	mag	mag_err
2458329.93843	15.842862	0.016523767
2458329.93888	15.834464	0.016506417
2458338.89529	15.903772	0.016653791
2458344.89226	15.7454	0.016330667
2458360.9307	16.190601	0.017376786
2458363.83178	15.687275	0.016223706
2458381.74816	15.821305	0.01647951
2458383.75111	15.916118	0.016681064
2458384.78547	15.840233	0.016518323
2458387.75285	15.72625	0.016294774
2458389.86616	15.791897	0.01642057
2458390.87304	15.904455	0.01665529
2458430.83601	15.719847	0.016282914
2458443.75003	15.729556	0.016300922
2458725.92554	15.963607	0.016788987
2458725.926	15.944692	0.016745424
2458726.93346	15.950216	0.016758068
2458726.93391	15.945095	0.016746342
2458734.99645	15.840872	0.016519643
2458734.9969	15.841407	0.01652075
2458737.90188	15.817986	0.016472775
2458737.90234	15.834121	0.01650571
2458764.87216	16.073196	0.017057205
2458764.87261	16.08255	0.0170814
2458765.76732	15.901847	0.016649563
2458765.76777	15.898261	0.016641716
2458766.76783	15.826068	0.016489211
2458766.76828	15.842981	0.016524013
2458767.81812	15.730076	0.016301893
2458767.81857	15.696445	0.016240193
2458768.77169	16.13771	0.01722847
2458772.6973	15.744701	0.016329346
2458772.69775	15.71723	0.01627809
2458791.66998	15.718299	0.016280062
2458793.66939	15.767833	0.016373547
2458793.66984	15.7645855	0.016367285
2458794.66913	15.75203	0.016343245
2458794.66959	15.7492	0.016337868
2458795.68296	16.24261	0.017529948
2458795.68341	16.241737	0.017527312
2458798.65703	15.869332	0.016579356
2458798.65748	15.875716	0.016592972
2458849.61937	15.775592	0.016388595
2458849.62454	15.751934	0.016343063
2459046.99031	15.716272	0.01627633
2459053.91225	15.76727	0.01637246
2459060.86877	15.951401	0.016760789
