JD            mag
2447773.48700 16.31830
2445644.31200 15.95330
2445646.26700 16.04210
2445647.31700 16.04610
2445647.35000 16.04970
2445663.16000 15.93520
2445663.19300 15.80240
2445665.25900 15.96350
2445666.27100 15.98300
2445674.17100 15.90390
2445695.16500 15.91510
2445882.48100 15.95260
2445888.49000 15.96280
2445908.42100 15.90620
2445913.47800 15.94660
2445914.47700 15.97720
2445915.45700 15.94330
2445918.53400 16.25920
2445933.40800 15.73180
2445936.42300 15.96920
2445939.47200 15.92380
2445945.45600 15.89060
2445945.49000 15.87600
2445946.42400 15.91390
2445947.49300 15.95360
2445948.49100 15.83020
2445949.49200 15.84990
2445964.53000 15.99400
2445965.38400 15.96520
2445969.26600 16.00690
2445969.33700 16.03830
2445969.37000 15.97870
2445969.40300 15.91970
2445969.43600 15.88870
2445969.46800 15.90040
2445969.50200 15.94930
2445969.53400 15.98880
2445969.56700 15.74420
2445972.46800 15.86450
2445974.44300 15.93960
2446030.33200 15.86000
2446265.50700 15.95620
2446297.38700 16.21820
2446301.42100 15.91700
2446304.43700 16.07480
2446325.40700 15.89930
2446326.40800 15.91580
2446352.43200 15.92700
2446360.41500 15.80290
2446380.30700 16.28470
2446382.36000 15.98430
2446406.28500 16.32770
2446408.26200 15.92130
2446410.27800 15.90900
2446413.26700 15.93510
2446645.50000 15.83650
2446651.49600 15.85840
2446654.51100 16.02880
2446656.47100 15.84560
2446672.42800 15.93180
2446682.40300 15.91220
2446686.42500 16.30150
2446706.42100 15.99500
2446709.42200 15.89200
2446712.40300 16.39290
2446714.41900 15.99640
2446730.31600 15.93190
2446761.26400 15.89580
2446763.17500 15.92410
2446764.25200 16.27280
2446768.21900 15.87630
2446769.21000 15.85620
2447035.45800 15.95980
2447041.55500 15.86910
2447057.42700 16.36170
2447059.40600 15.81420
2447062.49600 16.02700
2447064.34000 15.95080
2447066.44900 15.97180
2447091.32200 15.96580
2447387.46700 15.82330
2447389.42900 16.13430
2447393.47800 15.79930
2447395.41800 15.95860
2447396.38200 16.02510
2447397.39400 16.08050
2447410.41100 15.83480
2447418.45600 15.96550
2447419.35100 15.94200
2447420.43400 15.97930
2447422.33500 15.97210
2447424.46400 15.88120
2447436.30500 15.92260
2447442.33700 16.02050
2447449.29200 16.07970
2447451.27800 16.04470
2447468.19100 15.85790
2447475.20700 16.11310
2447477.22500 16.05770
2447765.43500 16.01220
2447766.54200 15.92280
2445642.36800 15.86700
2447792.40300 15.95420
2447798.41500 16.00330
2447802.43400 15.91090
2447821.40300 15.87390
2447826.33700 15.95280
2447826.40200 16.02020
2447826.44100 15.92370
2447835.22900 15.90800
2447851.24300 16.29250
2448532.23700 15.77640
2448811.50800 15.93020
2450371.33000 15.97260
