JD            mag
2447062.49600 15.44390
2445644.31200 15.32350
2445646.26700 15.31410
2445647.31700 15.36520
2445647.35000 15.36500
2445663.16000 15.28750
2445663.19300 15.38800
2445665.25900 15.32730
2445666.27100 15.31980
2445674.17100 15.27690
2445695.16500 15.33490
2445882.48100 15.32410
2445888.49000 15.44550
2445908.42100 15.41660
2445913.47800 15.29530
2445914.47700 15.28670
2445915.45700 15.24290
2445918.53400 15.25720
2445936.42300 15.46120
2445939.47200 15.35180
2445945.45600 15.25390
2445945.49000 15.33390
2445946.42400 15.33310
2445947.49300 15.19900
2445948.49100 15.31220
2445949.49200 15.23840
2445964.53000 15.31660
2445965.38400 15.34640
2445969.26600 15.40750
2445969.33700 15.42430
2445969.37000 15.37100
2445969.40300 15.32730
2445969.43600 15.32510
2445969.46800 15.29970
2445969.50200 15.24960
2445969.56700 15.30910
2445972.46800 15.28780
2445974.44300 15.28190
2446030.33200 15.37240
2446265.50700 15.26920
2446301.42100 15.36140
2446304.43700 15.42740
2446325.40700 15.26970
2446326.40800 15.33130
2446329.40700 15.38310
2446352.43200 15.40210
2446360.41500 15.41150
2446380.30700 15.30280
2446382.36000 15.37950
2446406.28500 15.32710
2446408.26200 15.34370
2446410.27800 15.37240
2446413.26700 15.33740
2446645.50000 15.40710
2446651.49600 15.40510
2446654.51100 15.37600
2446656.47100 15.36620
2446672.42800 15.39900
2446682.40300 15.30180
2446686.42500 15.42660
2446706.42100 15.31430
2446709.42200 15.40510
2446712.40300 15.40420
2446714.41900 15.41780
2446730.31600 15.46670
2446761.26400 15.46610
2446763.17500 15.26880
2446764.25200 15.36010
2446768.21900 15.43520
2446769.21000 15.44530
2447035.45800 15.46740
2447041.55500 15.32450
2447057.42700 15.54950
2445642.36800 15.34510
2447064.34000 15.50210
2447066.44900 15.41770
2447091.32200 15.29400
2447393.47800 15.41010
2447395.41800 15.40630
2447396.38200 15.34950
2447397.39400 15.28360
2447410.41100 15.40730
2447418.45600 15.41500
2447420.43400 15.48560
2447422.33500 15.41770
2447424.46400 15.62630
2447436.30500 15.46920
2447442.33700 15.40380
2447449.29200 15.34770
2447451.27800 15.46090
2447468.19100 15.38460
2447477.22500 15.45640
2447765.43500 15.70300
2447773.48700 15.63820
2447792.40300 15.48010
2447798.41500 15.56690
2447821.40300 15.44370
2447826.33700 15.45690
2447826.40200 15.37310
2447826.44100 15.50500
2447835.22900 15.48220
2447851.24300 15.44990
2448811.50800 15.57110
2450371.33000 15.51500
