JD            mag
2447773.48700 15.43900
2445644.31200 15.31620
2445646.26700 15.51360
2445647.31700 15.37740
2445647.35000 15.37050
2445663.16000 15.37130
2445663.19300 15.40880
2445665.25900 15.41350
2445666.27100 15.39100
2445674.17100 15.34580
2445695.16500 15.37010
2445882.48100 15.42140
2445888.49000 15.48030
2445913.47800 15.34480
2445914.47700 15.40820
2445915.45700 15.37470
2445918.53400 15.31330
2445936.42300 15.39770
2445945.45600 15.35810
2445945.49000 15.46700
2445946.42400 15.31820
2445947.49300 15.28290
2445948.49100 15.33330
2445949.49200 15.50170
2445964.53000 15.31650
2445965.38400 15.40130
2445969.26600 15.39870
2445969.33700 15.37500
2445969.37000 15.45340
2445969.40300 15.31550
2445969.43600 15.29260
2445969.46800 15.33880
2445969.50200 15.41450
2445969.53400 15.46060
2445969.56700 15.44760
2445972.46800 15.38420
2445974.44300 15.39160
2446030.33200 15.58880
2446084.21800 15.40020
2446265.50700 15.31460
2446301.42100 15.58730
2446325.40700 15.36030
2446326.40800 15.30860
2446329.40700 15.40010
2446352.43200 15.34070
2446360.41500 15.39960
2446382.36000 15.32510
2446406.28500 15.68550
2446408.26200 15.50730
2446413.26700 15.33370
2446645.50000 15.25370
2446651.49600 15.29280
2446654.51100 15.40480
2446656.47100 15.41590
2446672.42800 15.76420
2446682.40300 15.36540
2446706.42100 15.41440
2446709.42200 15.41960
2446712.40300 15.44810
2446714.41900 15.36350
2446730.31600 15.32120
2446761.26400 15.38770
2446763.17500 15.66770
2446768.21900 15.74800
2447035.45800 15.43720
2447041.55500 15.38940
2447057.42700 15.22810
2447059.40600 15.26660
2447062.49600 15.47450
2447066.44900 15.28270
2447091.32200 15.45190
2447387.46700 15.32030
2447389.42900 15.29900
2447393.47800 15.43500
2447395.41800 15.37910
2447397.39400 15.45370
2447410.41100 15.61600
2447418.45600 15.75680
2447419.35100 15.39870
2447420.43400 15.67590
2447422.33500 15.29790
2447424.46400 15.60060
2447436.30500 15.37340
2447442.33700 15.42730
2447449.29200 15.46920
2447468.19100 15.36450
2447477.22500 15.39330
2447765.43500 15.28010
2447766.54200 15.32180
2445642.36800 15.32750
2447792.40300 15.68980
2447798.41500 15.48910
2447802.43400 15.38200
2447821.40300 15.36440
2447826.33700 15.39860
2447826.44100 15.41820
2447835.22900 15.42730
2448532.23700 15.35350
2448811.50800 15.38250
2450365.43900 15.39480
2450371.33000 15.30190
