JD            mag
2447773.48700 16.57420
2445644.31200 16.31710
2445646.26700 16.75200
2445647.31700 16.22930
2445647.35000 16.23970
2445663.16000 16.21540
2445663.19300 16.30850
2445665.25900 16.20490
2445666.27100 16.81140
2445674.17100 16.64560
2445695.16500 16.64540
2445882.48100 16.33470
2445888.49000 16.45810
2445913.47800 16.18390
2445914.47700 16.18300
2445915.45700 16.36830
2445918.53400 16.66320
2445936.42300 16.45570
2445939.47200 16.75700
2445945.45600 16.40900
2445945.49000 17.19740
2445946.42400 16.77260
2445947.49300 16.22430
2445949.49200 16.24910
2445964.53000 16.37580
2445965.38400 16.22990
2445969.26600 16.64100
2445969.37000 16.09820
2445969.40300 16.45330
2445969.43600 16.82300
2445969.46800 16.47740
2445969.50200 16.37640
2445969.53400 16.30830
2445969.56700 16.31800
2445972.46800 16.59510
2445974.44300 16.37850
2446030.33200 16.12490
2446084.21800 16.82550
2446265.50700 16.34180
2446304.43700 16.10460
2446325.40700 16.23480
2446326.40800 16.36620
2446329.40700 16.71510
2446352.43200 16.42950
2446360.41500 16.08510
2446380.30700 16.20210
2446382.36000 16.13950
2446406.28500 16.43640
2446408.26200 16.31970
2446410.27800 16.09440
2446413.26700 16.28540
2446645.50000 16.37580
2446651.49600 16.52150
2446654.51100 16.53330
2446656.47100 16.07720
2446672.42800 16.83650
2446686.42500 16.52040
2446706.42100 16.31180
2446709.42200 16.27240
2446714.41900 16.30470
2446730.31600 16.18630
2446761.26400 16.58440
2446768.21900 16.27610
2446769.21000 16.75520
2447035.45800 16.43180
2447041.55500 16.11010
2447057.42700 16.28640
2447059.40600 16.69010
2447062.49600 16.19610
2447064.34000 16.29040
2447066.44900 16.18460
2447091.32200 16.15040
2447387.46700 16.72570
2447389.42900 16.12780
2447393.47800 16.30770
2447395.41800 16.26410
2447396.38200 16.28040
2447397.39400 16.40520
2447410.41100 16.24370
2447418.45600 16.44940
2447419.35100 16.61770
2447420.43400 16.15490
2447422.33500 16.49280
2447424.46400 16.23500
2447436.30500 16.40540
2447442.33700 16.28740
2447449.29200 16.00560
2447451.27800 16.33340
2447468.19100 16.93290
2447477.22500 16.51610
2447765.43500 16.16760
2447766.54200 16.69940
2445642.36800 16.38860
2447792.40300 16.42060
2447798.41500 16.17120
2447802.43400 16.02420
2447821.40300 16.69940
2447826.33700 16.35970
2447826.44100 16.13890
2447835.22900 16.29390
2447851.24300 16.39630
2448532.23700 16.12940
2448811.50800 16.24170
2450365.43900 15.99050
2450371.33000 16.24230
