JD	mag	mag_err
2458228.98577	14.791123	0.011190221
2458228.98669	14.835643	0.01273972
2458232.99934	14.825701	0.0127276
2458235.99977	14.805081	0.012702764
2458236.00069	14.799674	0.011200123
2458236.92842	14.827418	0.012729686
2458244.94843	14.843695	0.012749607
2458244.94935	14.801936	0.011202751
2458246.97001	14.823446	0.012724863
2458246.98377	14.808076	0.011209902
2458247.98524	14.813785	0.0112165725
2458247.98615	14.826804	0.01272894
2458252.96375	14.810809	0.011213093
2458254.94456	14.8226595	0.01122699
2458254.94548	14.842101	0.012747644
2458255.92718	14.799893	0.012696578
2458255.92809	14.836761	0.011243655
2458261.96912	14.796263	0.012692265
2458262.97564	14.811076	0.011213405
2458262.97612	14.826008	0.012727972
2458263.96345	14.8168335	0.011220146
2458263.96679	14.830001	0.01273283
2458267.96536	14.819744	0.012720384
2458267.96628	14.818999	0.011222687
2458268.96688	14.819216	0.011222941
2458268.9678	14.805771	0.012703587
2458269.97207	14.792541	0.01119186
2458269.97299	14.788624	0.0126832295
2458270.95211	14.812739	0.012711941
2458270.96905	14.81488	0.011217858
2458272.93155	14.851534	0.011261265
2458272.93246	14.831003	0.012734051
2458273.95056	14.796647	0.01269272
2458273.96406	14.821013	0.011225053
2458274.94405	14.825166	0.01272695
2458274.94497	14.832645	0.011238777
2458275.94864	14.874836	0.012788443
2458276.90668	14.844318	0.0112526445
2458276.90764	14.847681	0.012754525
2458277.94782	14.822384	0.011226665
2458277.94874	14.827359	0.012729615
2458278.93124	14.818276	0.0127186095
2458278.93408	14.821737	0.011225906
2458279.95497	14.865362	0.011277889
2458279.95589	14.843043	0.012748804
2458280.92597	14.863008	0.012773579
2458280.95364	14.848287	0.011257379
2458281.93039	14.845139	0.011253621
2458281.93364	14.8341875	0.01273794
2458282.92494	14.812741	0.012711942
2458282.92642	14.813473	0.011216209
2458283.92671	14.845969	0.01275241
2458283.95246	14.845155	0.011253642
2458285.94956	14.841721	0.011249549
2458285.95147	14.840066	0.012745143
2458286.93004	14.814678	0.012714272
2458286.93096	14.81821	0.01122176
2458287.93211	14.840878	0.011248546
2458287.93302	14.818691	0.01271911
2458288.93063	14.85835	0.011269441
2458288.93299	14.850191	0.012757629
2458289.92118	14.84221	0.012747778
2458289.9221	14.859185	0.011270445
2458290.95311	14.822661	0.011226992
2458290.9536	14.816807	0.012716838
2458291.95436	14.825182	0.01122996
2458291.95484	14.822061	0.012723186
2458292.95527	14.858914	0.012768467
2458293.95328	14.854818	0.011265201
2458293.9542	14.855084	0.0127636995
2458294.9561	14.833468	0.012737061
2458294.95701	14.828828	0.011234263
2458296.96629	14.8527775	0.012760836
2458296.96721	14.836251	0.01124305
2458297.94515	14.846659	0.012753262
2458297.97003	14.847277	0.011256173
2458298.97155	14.807408	0.011209123
2458298.9724500002	14.796936	0.012693064
2458299.95696	14.795771	0.01269168
2458299.96919	14.818118	0.011221653
2458300.97333	14.836004	0.012740162
2458301.82496	14.86325	0.012773883
2458301.97032	14.843403	0.011251553
2458302.9515	14.818064	0.0112215895
2458302.95336	14.818415	0.012718777
2458303.94259	14.802897	0.012700158
2458303.94449	14.819366	0.011223118
2458304.94677	14.830595	0.0127335545
2458305.95486	14.834257	0.012738025
2458305.97236	14.85231	0.011262193
2458307.94914	14.783617	0.012677336
2458307.95005	14.808644	0.0112105645
2458310.86597	14.849092	0.011258341
2458310.86687	14.832164	0.012735467
2458312.96493	14.832235	0.012735556
2458312.96585	14.824555	0.011229224
2458313.94748	14.831442	0.012734586
2458314.96536	14.848668	0.012755744
2458315.90227	14.823868	0.012725376
2458316.90769	14.784172	0.012677989
2458316.90912	14.810469	0.011212696
2458317.88237	14.838889	0.012743698
2458318.92591	14.858749	0.011269922
2458319.90622	14.800516	0.0126973195
2458319.90763	14.81951	0.011223288
2458320.95634	14.789537	0.012684306
2458320.95819	14.843559	0.011251738
2458321.9319	14.842318	0.012747911
2458321.93421	14.840214	0.011247756
2458322.94925	14.864725	0.01127712
2458322.95017	14.841264	0.012746616
2458323.95631	14.817893	0.012718148
2458324.95462	14.821457	0.011225575
2458324.95553	14.800993	0.012697887
2458325.90225	14.819183	0.011222903
2458325.95694	14.827034	0.012729219
2458326.9677	14.846728	0.012753348
2458326.98405	14.844334	0.011252662
2458327.97453	14.824639	0.011229321
2458327.97501	14.837659	0.01274219
2458329.94177	14.805467	0.012703224
2458330.95276	14.843823	0.012749765
2458330.97449	14.860109	0.011271557
2458331.96006	14.8141775	0.012713671
2458332.94952	14.790503	0.012685447
2458332.95	14.827575	0.011232781
2458333.81349	14.779214	0.012672173
2458333.94621	14.839392	0.011246779
2458334.82074	14.846141	0.011254818
2458336.82156	14.827483	0.011232676
2458337.89174	14.831877	0.011237867
2458337.89314	14.807969	0.012706217
2458338.8688	14.820484	0.012721277
2458338.87805	14.870692	0.011284333
2458342.91101	14.847151	0.012753869
2458342.91241	14.866314	0.011279038
2458343.88509	14.901013	0.011321395
2458343.886	14.853107	0.012761244
2458344.86262	14.825544	0.012727409
2458344.86353	14.855983	0.011266598
2458345.90838	14.823975	0.011228538
2458346.84523	14.871205	0.011284955
2458347.84697	14.898553	0.011318361
2458347.84788	14.890393	0.012808208
2458348.86226	14.843616	0.012749509
2458348.86411	14.85626	0.01126693
2458349.87731	14.832304	0.011238372
2458350.85613	14.840263	0.012745384
2458350.93468	14.85883	0.011270019
2458351.91679	14.903643	0.0128252385
2458351.91864	14.905261	0.011326641
2458352.88993	14.879475	0.012794311
2458352.89084	14.867936	0.011280999
2458360.86728	14.891196	0.012809237
2458360.91093	14.890721	0.01130874
2458361.88598	14.843507	0.012749374
2458361.88988	14.867469	0.011280432
2458362.76308	14.842102	0.011250003
2458363.80875	14.8211155	0.012722041
2458363.8106	14.843492	0.011251658
2458364.76195	14.904401	0.012826218
2458364.78501	14.898323	0.011318078
2458365.80195	14.905602	0.012827773
2458365.80287	14.89299	0.011311522
2458366.7611	14.855337	0.012764014
2458366.91031	14.838075	0.011245213
2458367.79093	14.815025	0.01271469
2458367.81549	14.825277	0.011230073
2458368.87056	14.871247	0.012783919
2458368.87147	14.899948	0.011320082
2458369.80478	14.908755	0.012831858
2458369.80569	14.903145	0.011324027
2458370.73722	14.86316	0.012773771
2458370.84397	14.842409	0.011250369
2458371.84548	14.814038	0.012713502
2458371.84639	14.826101	0.011231044
2458372.78431	14.840823	0.012746073
2458372.78522	14.859046	0.011270277
2458373.77249	14.874341	0.01278782
2458373.87351	14.8879795	0.01130538
2458374.76675	14.866065	0.012777408
2458374.78606	14.8495865	0.011258933
2458375.80303	14.817673	0.012717881
2458375.80487	14.8231325	0.011227547
2458375.8989	14.833047	0.011239252
2458376.80403	14.848263	0.012755243
2458376.80635	14.840079	0.011247597
2458377.77388	14.882688	0.0127983885
2458377.84863	14.908971	0.011331234
2458378.81553	14.876066	0.012789998
2458378.82839	14.869885	0.011283357
2458379.82282	14.81052	0.012709275
2458379.84565	14.815716	0.011218835
2458380.84923	14.873217	0.011287393
2458382.74674	14.885312	0.012801727
2458382.90734	14.8459425	0.01125458
2458383.74346	14.833135	0.012736652
2458384.79722	14.810366	0.01270909
2458384.83841	14.802925	0.011203902
2458385.85078	14.875249	0.01128986
2458385.86188	14.858513	0.012767967
2458386.67847	14.879114	0.012793855
2458387.7865	14.825968	0.011230887
2458387.78747	14.850415	0.012757906
2458388.80752	14.797495	0.012693728
2458388.82009	14.799978	0.011200476
2458389.68911	14.792083	0.012687314
2458389.70556	14.821608	0.0112257525
2458390.81514	14.901986	0.012823099
2458400.76588	14.843466	0.012749325
2458400.76636	14.858638	0.011269787
2458425.65199	14.905932	0.011327472
2458425.65246	14.90571	0.0128279105
2458426.719	14.835554	0.011242222
2458428.68271	14.800358	0.012697131
2458428.68412	14.837672	0.011244737
2458429.68517	14.868143	0.012780015
2458429.72425	14.874965	0.011289515
2458430.6631	14.852715	0.012760757
2458430.66401	14.879571	0.0112951165
2458431.61266	14.801666	0.012698689
2458431.72676	14.783563	0.011181506
2458432.68448	14.779906	0.012672984
2458434.65815	14.836591	0.011243452
2458434.65907	14.877218	0.012791454
2458435.684	14.824911	0.01272664
2458435.69531	14.830606	0.011236365
2458436.6527	14.801364	0.012698329
2458437.72374	14.893155	0.012811745
2458437.72465	14.871968	0.01128588
2458441.74977	14.887067	0.012803963
2458441.75163	14.878953	0.011294363
2458457.61555	14.797021	0.012693165
2458457.61696	14.827838	0.011233093
2458469.63333	14.8675785	0.012779307
2458469.65789	14.854897	0.011265294
2458472.63787	14.87056	0.012783054
2458472.65864	14.873089	0.011287238
2458482.63789	14.85039	0.012757877
2458482.63881	14.833128	0.011239349
2458483.61153	14.821648	0.012722684
2458483.61245	14.809782	0.011211893
2458487.63795	14.834876	0.012738782
2458487.66298	14.832972	0.011239163
2458488.63952	14.83078	0.01273378
2458491.63858	14.83048	0.011236214
2458491.65129	14.826312	0.012728342
2458493.65862	14.872025	0.012784898
2458493.65954	14.845046	0.011253511
2458494.63725	14.878475	0.012793046
2458494.64142	14.883837	0.011300316
2458503.68	14.821193	0.011225265
2458505.65589	14.836905	0.012741265
2458505.67695	14.832215	0.011238267
2458507.65727	14.836336	0.011243151
2458510.63443	14.866079	0.012777424
2458510.63583	14.84769	0.011256667
2458511.63556	14.856396	0.01276533
2458511.63647	14.833053	0.0112392595
2458593.96599	14.818234	0.012718559
2458607.9249	14.832721	0.012736147
2458607.97611	14.85413	0.011264374
2458608.95283	14.8060465	0.012703916
2458608.95374	14.79305	0.011192448
2458617.96959	14.741848	0.011134114
2458617.97006	14.781409	0.012674745
2458628.96696	14.835509	0.012739556
2458628.96743	14.832486	0.011238588
2458632.94344	14.828175	0.012730608
2458633.97462	14.813813	0.01271323
2458634.94996	14.800731	0.012697575
2458635.9619	14.799831	0.012696505
2458637.96879	14.839891	0.011247372
2458637.97016	14.815878	0.012715717
2458638.94831	14.794271	0.011193862
2458638.9506	14.798908	0.012695406
2458639.94439	14.80602	0.011207505
2458639.94635	14.789052	0.012683733
