JD	mag	mag_err
2458326.89594	15.515136	0.0125141945
2458326.8964	15.518052	0.012518109
2458327.87057	15.301247	0.012258801
2458327.87104	15.3208	0.012279707
2458328.86917	15.2963295	0.012253615
2458328.86963	15.266249	0.012222518
2458330.88835	15.269444	0.012225773
2458330.88881	15.301549	0.012259122
2458331.88689	15.300544	0.012258059
2458331.88735	15.298838	0.012256257
2458332.88092	15.621256	0.01266484
2458332.88137	15.636533	0.012687973
2458334.90276	15.325953	0.012285293
2458334.90322	15.307753	0.012265706
2458335.8813	15.392289	0.012360167
2458335.88177	15.366172	0.012330024
2458336.87281	15.23656	0.012192854
2458336.87326	15.223087	0.01217972
2458345.85405	15.422393	0.0123960115
2458353.81486	15.6197195	0.0126625355
2458354.78956	15.282663	0.0122393565
2458355.81014	15.28992	0.012246901
2458356.80524	15.458508	0.012440612
2458357.82526	15.291448	0.0122484965
2458359.85228	15.666906	0.012735094
2458360.81279	15.236717	0.012193007
2458361.8246	15.310838	0.012268999
2458362.85514	15.46334	0.012446716
2458364.85707	15.322824	0.0122818975
2458365.8767	15.725112	0.012829736
2458368.82359	15.304873	0.012262645
2458378.76832	15.425285	0.012399518
2458379.77123	15.240117	0.012196355
2458380.79286	15.327964	0.012287483
2458383.83235	15.2446785	0.012200865
2458385.74961	15.299689	0.012257157
2458386.76608	15.734322	0.012845251
2458439.74051	15.353231	0.012315411
2458443.59489	15.355453	0.012317905
2458655.90999	15.247442	0.01220361
2458655.91043	15.246811	0.012202983
2458681.91554	15.708052	0.012801393
2458681.91599	15.722013	0.01282455
2458682.91584	15.269765	0.012226098
2458682.91629	15.305097	0.012262882
2458683.91101	15.317782	0.012276451
2458683.91147	15.306258	0.012264116
2458685.93253	15.238855	0.012195111
2458685.93298	15.268451	0.012224759
2458706.85327	15.34113	0.012301939
2458706.85373	15.356173	0.0123187145
2458710.8669	15.25448	0.012210639
2458710.86735	15.257443	0.012213614
2458711.83378	15.438221	0.012415341
2458711.83423	15.40009	0.012369341
2458712.86162	15.247683	0.012203848
2458712.86208	15.257113	0.012213284
2458713.87222	15.298849	0.01225627
2458713.87267	15.287253	0.012244122
2458714.89051	15.743086	0.012860154
2458714.89096	15.726443	0.01283197
2458715.88714	15.267532	0.012223825
2458715.88759	15.280871	0.012237503
2458716.93167	15.242956	0.012199161
2458716.93212	15.241388	0.012197609
2458719.95098	15.216532	0.012173403
2458719.95143	15.210349	0.012167491
2458739.86185	15.39034	0.012357888
2458739.86229	15.4180155	0.012390725
2458740.90303	15.2788725	0.012235439
2458740.90348	15.243796	0.01219999
2458741.86253	15.436435	0.012413142
2458741.86298	15.443652	0.012422052
2458745.91382	15.423841	0.012397766
2458745.91428	15.431431	0.012407008
2458748.90721	15.394232	0.012362445
2458748.90766	15.410907	0.012382194
2458759.8231	15.225646	0.012182199
2458763.78117	15.59656	0.012628235
2458763.78162	15.606654	0.012643081
2458765.70741	15.441661	0.012419586
2458765.70786	15.434505	0.012410773
2458770.80673	15.226388	0.012182919
2458770.80718	15.242717	0.012198923
2458771.79026	15.438374	0.012415529
2458771.79071	15.432752	0.0124086235
