JD            mag
2445644.31200 15.50260
2445646.26700 15.51720
2445647.31700 15.59010
2445647.35000 15.58010
2445663.16000 15.45210
2445663.19300 15.47970
2445665.25900 15.63810
2445666.27100 15.55340
2445674.17100 15.55280
2445695.16500 15.54850
2445882.48100 15.68760
2445888.49000 15.58540
2445908.42100 15.49810
2445913.47800 15.69770
2445914.47700 15.62070
2445915.45700 15.51590
2445918.53400 15.60700
2445936.42300 15.65880
2445939.47200 15.45500
2445945.45600 15.46500
2445945.49000 15.61870
2445946.42400 15.72930
2445947.49300 15.64240
2445948.49100 15.59010
2445949.49200 15.66290
2445964.53000 15.68770
2445965.38400 15.58450
2445969.26600 15.71560
2445969.33700 15.75770
2445969.37000 15.67420
2445969.40300 15.60610
2445969.43600 15.74080
2445969.46800 15.72100
2445969.50200 15.57030
2445969.53400 15.60590
2445969.56700 15.61220
2445972.46800 15.67420
2445974.44300 15.61960
2446030.33200 15.60240
2445642.36800 15.58730
2446265.50700 15.64710
2446297.38700 15.59440
2446301.42100 15.46380
2446325.40700 15.63710
2446326.40800 15.72280
2446329.40700 15.55000
2446352.43200 15.41540
2446360.41500 15.59920
2446380.30700 15.50740
2446382.36000 15.62810
2446406.28500 15.59960
2446408.26200 15.59920
2446410.27800 15.47600
2446413.26700 15.49530
2446645.50000 15.52150
2446651.49600 15.51450
2446654.51100 15.56500
2446656.47100 15.56840
2446672.42800 15.49970
2446682.40300 15.66230
2446686.42500 15.71450
2446706.42100 15.51960
2446709.42200 15.51580
2446712.40300 15.57140
2446714.41900 15.40480
2446730.31600 15.53150
2446761.26400 15.51370
2446763.17500 15.43860
2446764.25200 15.54000
2446768.21900 15.43260
2446769.21000 15.45350
2447035.45800 15.27270
2447041.55500 15.37170
2447057.42700 15.30040
2447059.40600 15.26960
2447062.49600 15.38260
2447064.34000 15.36610
2447066.44900 15.43610
2447091.32200 15.34550
2447387.46700 15.33320
2447389.42900 15.29500
2447393.47800 15.28000
2447395.41800 15.41520
2447396.38200 15.35510
2447397.39400 15.30990
2447410.41100 15.32120
2447418.45600 15.33410
2447419.35100 15.31590
2447420.43400 15.33620
2447422.33500 15.26390
2447424.46400 15.28000
2447436.30500 15.42460
2447442.33700 15.31580
2447449.29200 15.27490
2447451.27800 15.43540
2447468.19100 15.40970
2447477.22500 15.24480
2447765.43500 15.28690
2447766.54200 15.30570
2447773.48700 15.36210
2447792.40300 15.42430
2447798.41500 15.33350
2447802.43400 15.31490
2447821.40300 15.49790
2447826.33700 15.46030
2447826.44100 15.34030
2447835.22900 15.54720
2447851.24300 15.32780
2448532.23700 15.52650
2448811.50800 15.44110
2450365.43900 15.40670
2450371.33000 15.49370
