JD	mag	mag_err
2458326.89583	14.744294	0.009952639
2458326.89629	14.746066	0.009953892
2458327.87046	14.747783	0.009955105
2458327.87092	14.750613	0.009957113
2458328.86906	14.742913	0.009951666
2458328.86952	14.74188	0.009950939
2458330.8882400002	14.727925	0.009941178
2458330.8887	14.738021	0.009948226
2458331.88679	14.738266	0.009948398
2458331.88725	14.741003	0.00995032
2458332.88082	14.745099	0.009953208
2458332.88127	14.740695	0.009950103
2458334.90267	15.193869	0.010349743
2458334.90313	15.192071	0.010347791
2458335.88121	14.740486	0.009949957
2458335.88167	14.733569	0.0099451095
2458336.87272	14.729449	0.009942237
2458336.87317	14.738473	0.009948542
2458345.85398	14.739504	0.009949267
2458353.81482	14.744371	0.009952694
2458354.78952	14.744658	0.009952897
2458355.81011	14.755567	0.00996064
2458356.80521	14.7461605	0.009953958
2458357.82523	14.733023	0.009944728
2458359.85225	14.744137	0.009952529
2458360.81277	15.094249	0.0102464445
2458361.82458	14.740261	0.009949798
2458362.85513	14.749377	0.009956236
2458364.85706	14.745056	0.0099531775
2458365.8767	14.737019	0.009947522
2458368.8236	14.749762	0.009956509
2458378.76835	14.728947	0.009941889
2458379.77127	14.741857	0.009950922
2458380.7929	14.742916	0.009951668
2458383.8324	14.742022	0.009951037
2458385.74967	14.739028	0.009948933
2458439.74068	14.71745	0.009933938
2458443.59507	14.750835	0.009957272
2458655.90981	14.745797	0.0099537
2458655.91025	14.740759	0.009950149
2458681.9154	14.743277	0.009951922
2458681.91586	14.742895	0.009951653
2458682.9157	14.75168	0.009957871
2458682.91615	14.751556	0.009957784
2458683.91088	14.751029	0.009957408
2458683.91133	14.745041	0.009953166
2458685.9324	14.741437	0.009950627
2458685.93285	14.747279	0.00995475
2458706.8532	14.747955	0.009955228
2458706.85365	14.767122	0.009968931
2458710.86683	14.747404	0.009954837
2458710.86728	14.739414	0.009949204
2458711.83371	14.751435	0.009957697
2458711.83417	14.738944	0.009948874
2458712.86156	14.746912	0.00995449
2458712.86202	14.761581	0.009964942
2458713.87216	14.744037	0.009952459
2458713.87261	14.744396	0.009952712
2458714.89046	14.744548	0.009952818
2458714.89091	14.7449465	0.009953099
2458715.88708	14.744705	0.00995293
2458715.88754	14.75811	0.009962456
2458716.93162	14.742244	0.009951194
2458716.93207	14.751472	0.009957724
2458719.95094	14.742777	0.00995157
2458719.9514	14.73162	0.00994375
2458739.86187	14.736758	0.009947341
2458739.8623099998	14.759174	0.009963217
2458740.90306	14.740028	0.009949635
2458740.90351	14.733347	0.009944955
2458741.86256	14.736139	0.009946907
2458741.86301	14.763697	0.009966463
2458745.91387	14.739124	0.009949
2458745.91432	14.7413	0.009950529
2458748.90726	14.73602	0.009946824
2458748.90771	14.741901	0.009950953
2458759.82318	14.740331	0.009949848
2458763.78126	14.758425	0.009962681
2458763.78171	14.756668	0.009961426
2458765.70751	14.75948	0.009963437
2458765.70796	14.769581	0.009970707
2458770.80684	14.988203	0.010146767
2458770.80729	14.967821	0.010128743
2458771.79037	14.741061	0.009950362
2458771.79082	14.733058	0.009944753
