JD            mag
2447773.48700 16.68660
2445644.31200 16.52850
2445646.26700 16.85670
2445647.31700 16.97930
2445647.35000 17.01730
2445663.16000 16.96780
2445663.19300 16.78800
2445665.25900 17.30890
2445666.27100 16.67620
2445674.17100 16.89590
2445695.16500 16.67220
2445882.48100 16.72960
2445888.49000 16.68510
2445913.47800 16.54020
2445914.47700 16.75520
2445915.45700 17.30460
2445918.53400 16.92660
2445936.42300 17.00000
2445939.47200 16.55250
2445945.45600 16.68470
2445945.49000 16.53050
2445946.42400 17.05910
2445947.49300 16.81050
2445949.49200 16.95600
2445964.53000 16.59130
2445965.38400 16.55890
2445969.26600 16.59130
2445969.33700 16.62890
2445969.37000 16.92540
2445969.40300 16.68390
2445969.43600 17.13220
2445969.46800 16.72030
2445969.50200 16.78010
2445969.53400 16.63510
2445969.56700 16.58710
2445972.46800 16.65780
2445974.44300 17.25200
2446030.33200 16.66920
2446265.50700 16.94360
2446301.42100 16.36210
2446304.43700 16.34790
2446325.40700 16.87440
2446326.40800 16.43050
2446329.40700 16.51180
2446360.41500 16.60430
2446380.30700 16.65220
2446382.36000 16.55850
2446406.28500 16.53260
2446408.26200 16.65690
2446410.27800 16.74430
2446413.26700 16.81680
2446645.50000 16.76010
2446651.49600 16.79020
2446654.51100 16.76790
2446656.47100 16.70850
2446672.42800 16.87790
2446682.40300 16.59290
2446686.42500 16.88640
2446706.42100 16.57610
2446709.42200 16.66370
2446712.40300 16.42350
2446730.31600 16.65540
2446761.26400 16.64270
2446763.17500 16.77630
2446764.25200 16.56880
2446768.21900 16.39990
2446769.21000 17.66610
2447041.55500 16.55030
2447062.49600 16.26040
2447064.34000 16.60740
2447091.32200 16.60760
2447389.42900 16.80460
2447393.47800 16.95990
2447395.41800 16.74250
2447396.38200 16.43090
2447410.41100 16.63180
2447418.45600 16.42650
2447419.35100 16.65580
2447420.43400 16.81690
2447422.33500 16.61660
2447424.46400 16.59200
2447436.30500 16.73460
2447442.33700 16.89960
2447449.29200 16.74700
2447451.27800 16.79440
2447468.19100 16.39270
2447765.43500 16.66200
2447766.54200 16.98660
2445642.36800 16.92570
2447792.40300 16.68970
2447798.41500 16.43960
2447802.43400 16.72060
2447821.40300 16.60920
2447826.33700 16.89710
2447826.40200 16.58340
2447826.44100 16.47240
2447835.22900 16.83460
2447851.24300 16.56460
2448532.23700 16.58690
2448811.50800 16.58640
2450371.33000 16.46080
